	MP	Gravimetric.Water	pH	EC	POXC	Sand	Silt	Clay	Phosphorous	Potassium	Magnesium	Calcium	CEC	CECK(perc)	CECMg(perc)	CECCa(perc)	OM	zinc	copper	sulfur	NO3	NH4 
Oat-3-2	240	13.94557823	6.96	89.3	304.35	46.2575728	33.22259136	20.51983584	47	94	97	912.6	5.612358974	4.3	14.4	81.3	2.05	1.127671123	5.552706242	6.050760746	0.328511834	2.073260491
Oat-4-1	140	17.63122476	6.47	69.1	351.10	37.66937669	39.74706414	22.58355917	49	134	98	985.4	8.28725641	4.1	9.9	59.5	2.36	1.844368696	7.132656574	8.805093765	0.959803462	1.241356926
Oat-4-2	67	16.68571429	6.26	73.5	295.48	37.66937669	39.74706414	22.58355917	49	134	98	985.4	8.28725641	4.1	9.9	59.5	2.36	1.844368696	7.132656574	8.805093765	0.523941353	2.020479808
Pea-1-1	220	14.99364676	6.38	60.2	301.63	34.41117764	37.9241517	27.66467066	25	105	63	942.6	7.507230769	3.6	7	62.8	1.64	1.062367439	2.459823132	5.742526054	6.380348984	2.391137179
Pea-1-2	200	13.69390104	6.78	69.4	282.85	34.41117764	37.9241517	27.66467066	25	105	63	942.6	7.507230769	3.6	7	62.8	1.64	1.062367439	2.459823132	5.742526054	2.485670338	2.011438565
Pea-2-1	310	16.14763552	6.93	90	316.70	22.83950617	46.53635117	30.62414266	39	95	171	1089.3	7.115089744	3.4	20	76.5	1.95	1.773285866	25.63224983	5.651350498	7.195459499	2.12864793
Pea-2-2	92	17.30545877	6.8	127.9	335.40	22.83950617	46.53635117	30.62414266	39	95	171	1089.3	7.115089744	3.4	20	76.5	1.95	1.773285866	25.63224983	5.651350498	0.995373115	1.58930409
Pea-3-1	400	17.13917526	6.56	49.2	403.25	39.6691035	37.24509427	23.08580223	38	130	113	983.9	8.1945	4.1	11.5	60	2.16	1.186075926	5.292982578	6.81004715	11.95485139	2.19709858
Pea-3-2	310	18.48225214	6.88	41.1	316.50	39.6691035	37.24509427	23.08580223	38	130	113	983.9	8.1945	4.1	11.5	60	2.16	1.186075926	5.292982578	6.81004715	0.713449231	2.375342836
Pea-4-1	120	17.67741935	6.64	50.8	300.92	34.92208983	40.3299725	24.74793767	49	119	108	1087.5	8.642628205	3.5	10.4	62.9	2.4	1.965379119	14.44179916	8.077130318	14.51766686	1.329782444
Pea-4-2	80	17.3964497	6.62	93.2	322.43	34.92208983	40.3299725	24.74793767	49	119	108	1087.5	8.642628205	3.5	10.4	62.9	2.4	1.965379119	14.44179916	8.077130318	1.45218814	2.364005978
Radish-1-1	200	17.125	6.27	54.9	269.58	22.95232836	43.91680471	33.13086692	23	124	78	948.9	7.712448718	4.1	8.4	61.5	1.81	1.198923707	2.4044137	6.691152573	4.380525071	1.180214966
Radish-1-2	400	14.41144114	6.37	96.4	271.67	22.95232836	43.91680471	33.13086692	23	124	78	948.9	7.712448718	4.1	8.4	61.5	1.81	1.198923707	2.4044137	6.691152573	2.251680926	3.91340991
Radish-2-1	200	15.32163743	6.33	87.2	256.69	27.66373412	44.26197458	28.0742913	23	103	97	952.7	8.635935897	3.1	9.4	55.2	1.41	0.601339698	2.300708532	6.660919189	1.263573351	1.037170059
Radish-2-2	500	15.41057368	6.4	108.8	209.95	27.66373412	44.26197458	28.0742913	23	103	97	952.7	8.635935897	3.1	9.4	55.2	1.41	0.601339698	2.300708532	6.660919189	0.848509239	1.529002963
Radish-3-1	200	16.42857143	6.81	64.2	254.98	41.46433991	34.82549317	23.71016692	39	117	101	941.2	5.847666667	5.1	14.4	80.5	1.99	0.99940753	5.114140987	6.186453819	0.881812373	1.230205846
Radish-3-2	54	17.48251748	6.52	107.3	290.62	41.46433991	34.82549317	23.71016692	39	117	101	941.2	5.847666667	5.1	14.4	80.5	1.99	0.99940753	5.114140987	6.186453819	0.581373349	1.654576591
Radish-4-1	70	14.39205955	6.49	56.6	249.17	45.09803922	34.31372549	20.58823529	31	92	84	951.6	7.693897436	3.1	9.1	61.8	1.62	1.62940681	5.859245777	7.821257114	1.568124201	0.74842133
Radish-4-2	54	13.84976526	6.84	83	270.41	45.09803922	34.31372549	20.58823529	31	92	84	951.6	7.693897436	3.1	9.1	61.8	1.62	1.62940681	5.859245777	7.821257114	1.354178887	2.091535808
Rye-1-1	310	13.39491917	6.64	46.5	269.02	35.37388609	35.83882216	28.78729175	21	114	83	943.4	7.700974359	3.8	9	61.3	1.58	0.955218375	2.347615004	4.78801775	0.070527608	1.689022777
Rye-1-2	310	12.74175199	6.73	75.4	231.54	35.37388609	35.83882216	28.78729175	21	114	83	943.4	7.700974359	3.8	9	61.3	1.58	0.955218375	2.347615004	4.78801775	0.439027549	2.234775355
Rye-2-1	101	16.46778043	6.59	55.6	325.13	29.81790592	39.15022762	31.03186646	32	80	95	941.7	7.705294872	2.7	10.3	61.1	1.8	0.989818037	4.321207523	4.948189259	0.079698381	1.143242643
Rye-2-2	37	18.97555297	6.39	99	276.51	29.81790592	39.15022762	31.03186646	32	80	95	941.7	7.705294872	2.7	10.3	61.1	1.8	0.989818037	4.321207523	4.948189259	0.377022888	2.597224494
Rye-3-1	135	19.22525108	6.9	52.8	373.88	38.55507868	37.30329041	24.1416309	62	112	101	1010.8	6.182846154	4.6	13.6	81.7	2.24	1.217048049	6.732423306	6.389308453	0.248432562	1.541586211
Rye-3-2	67	17.6969697	6.45	92.1	351.65	38.55507868	37.30329041	24.1416309	62	112	101	1010.8	6.182846154	4.6	13.6	81.7	2.24	1.217048049	6.732423306	6.389308453	0.853917382	2.526412443
Rye-4-1	80	17.83980583	6.55	49.9	290.82	38.36384012	39.22301083	22.41314905	38	98	93	920.2	7.827282051	3.2	9.9	58.8	2.19	2.08270812	6.42073679	7.93266058	0.222339041	1.160219987
Rye-4-2	37	16.82352941	6.53	81.8	258.96	38.36384012	39.22301083	22.41314905	38	98	93	920.2	7.827282051	3.2	9.9	58.8	2.19	2.08270812	6.42073679	7.93266058	0.699915844	3.082353014
